minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,252d,long,t1200,0930,1130,true,0,0.0,0.00,0.00,36,52.8,0.38,1.37,36,52.8,0.38,1.37
3,252d,long,t1200,pm,0940,false,166,42.8,-0.40,0.75,58,43.1,-0.42,0.74,224,42.9,-0.41,0.75
3,252d,long,t1200,pm,0940,true,0,0.0,0.00,0.00,24,58.3,0.26,1.20,24,58.3,0.26,1.20
3,252d,long,t1200,pm,1130,false,241,42.7,-0.38,0.74,78,43.6,-0.30,0.79,319,42.9,-0.36,0.75
3,252d,long,t1200,pm,1130,true,0,0.0,0.00,0.00,36,52.8,0.24,1.20,36,52.8,0.24,1.20
3,252d,both,atr,0930,0940,false,225,45.3,-0.25,0.83,71,45.1,-0.06,0.96,296,45.3,-0.21,0.86
3,252d,both,atr,0930,0940,true,0,0.0,0.00,0.00,29,58.6,0.57,1.46,29,58.6,0.57,1.46
3,252d,both,atr,0930,1130,false,328,43.3,-0.33,0.78,109,50.5,0.28,1.24,437,45.1,-0.17,0.88
3,252d,both,atr,0930,1130,true,0,0.0,0.00,0.00,41,61.0,0.69,1.64,41,61.0,0.69,1.64
3,252d,both,atr,pm,0940,false,225,50.7,-0.12,0.92,71,46.5,-0.15,0.91,296,49.7,-0.13,0.92
3,252d,both,atr,pm,0940,true,0,0.0,0.00,0.00,29,58.6,0.50,1.38,29,58.6,0.50,1.38
3,252d,both,atr,pm,1130,false,328,47.3,-0.22,0.85,109,50.5,0.22,1.17,437,48.1,-0.11,0.92
3,252d,both,atr,pm,1130,true,0,0.0,0.00,0.00,41,61.0,0.63,1.57,41,61.0,0.63,1.57
3,252d,both,pct1,0930,0940,false,225,64.4,-0.37,0.61,71,67.6,-0.38,0.61,296,65.2,-0.38,0.61
3,252d,both,pct1,0930,0940,true,0,0.0,0.00,0.00,29,89.7,0.41,2.07,29,89.7,0.41,2.07
3,252d,both,pct1,0930,1130,false,328,65.9,-0.26,0.69,109,67.9,-0.20,0.75,437,66.4,-0.24,0.71
3,252d,both,pct1,0930,1130,true,0,0.0,0.00,0.00,41,82.9,0.27,1.59,41,82.9,0.27,1.59
3,252d,both,pct1,pm,0940,false,225,70.7,-0.26,0.71,71,73.2,-0.22,0.75,296,71.3,-0.25,0.72
3,252d,both,pct1,pm,0940,true,0,0.0,0.00,0.00,29,93.1,0.71,6.77,29,93.1,0.71,6.77
3,252d,both,pct1,pm,1130,false,328,70.1,-0.17,0.78,109,71.6,-0.09,0.88,437,70.5,-0.15,0.81
3,252d,both,pct1,pm,1130,true,0,0.0,0.00,0.00,41,85.4,0.48,2.72,41,85.4,0.48,2.72
3,252d,both,pct2,0930,0940,false,225,56.4,-0.17,0.85,71,50.7,-0.56,0.60,296,55.1,-0.26,0.78
3,252d,both,pct2,0930,0940,true,0,0.0,0.00,0.00,29,69.0,0.14,1.13,29,69.0,0.14,1.13
3,252d,both,pct2,0930,1130,false,328,55.2,-0.17,0.85,109,55.0,-0.15,0.86,437,55.1,-0.16,0.85
3,252d,both,pct2,0930,1130,true,0,0.0,0.00,0.00,41,68.3,0.25,1.27,41,68.3,0.25,1.27
3,252d,both,pct2,pm,0940,false,225,62.2,-0.03,0.97,71,53.5,-0.54,0.62,296,60.1,-0.15,0.87
3,252d,both,pct2,pm,0940,true,0,0.0,0.00,0.00,29,72.4,0.35,1.40,29,72.4,0.35,1.40
3,252d,both,pct2,pm,1130,false,328,59.5,-0.05,0.95,109,56.0,-0.16,0.86,437,58.6,-0.08,0.93
3,252d,both,pct2,pm,1130,true,0,0.0,0.00,0.00,41,70.7,0.40,1.49,41,70.7,0.40,1.49
3,252d,both,t1030,0930,0940,false,225,39.6,-0.48,0.66,71,50.7,0.22,1.21,296,42.2,-0.31,0.76
3,252d,both,t1030,0930,0940,true,0,0.0,0.00,0.00,29,65.5,1.18,2.59,29,65.5,1.18,2.59
3,252d,both,t1030,0930,1130,false,328,40.5,-0.41,0.65,109,46.8,0.26,1.32,437,42.1,-0.24,0.77
3,252d,both,t1030,0930,1130,true,0,0.0,0.00,0.00,41,56.1,1.12,2.70,41,56.1,1.12,2.70
3,252d,both,t1030,pm,0940,false,225,40.9,-0.54,0.63,71,50.7,0.17,1.15,296,43.2,-0.37,0.73
3,252d,both,t1030,pm,0940,true,0,0.0,0.00,0.00,29,65.5,1.18,2.61,29,65.5,1.18,2.61
3,252d,both,t1030,pm,1130,false,328,41.5,-0.46,0.63,109,46.8,0.22,1.27,437,42.8,-0.29,0.75
3,252d,both,t1030,pm,1130,true,0,0.0,0.00,0.00,41,56.1,1.12,2.71,41,56.1,1.12,2.71
3,252d,both,t1200,0930,0940,false,225,41.3,-0.36,0.75,71,40.8,-0.26,0.82,296,41.2,-0.34,0.77
3,252d,both,t1200,0930,0940,true,0,0.0,0.00,0.00,29,55.2,0.39,1.39,29,55.2,0.39,1.39
3,252d,both,t1200,0930,1130,false,328,42.1,-0.36,0.74,109,43.1,-0.02,0.98,437,42.3,-0.28,0.79
3,252d,both,t1200,0930,1130,true,0,0.0,0.00,0.00,41,51.2,0.33,1.33,41,51.2,0.33,1.33
3,252d,both,t1200,pm,0940,false,225,44.0,-0.40,0.74,71,42.3,-0.33,0.79,296,43.6,-0.38,0.75
3,252d,both,t1200,pm,0940,true,0,0.0,0.00,0.00,29,55.2,0.21,1.18,29,55.2,0.21,1.18
3,252d,both,t1200,pm,1130,false,328,43.9,-0.37,0.73,109,43.1,-0.09,0.93,437,43.7,-0.30,0.78
3,252d,both,t1200,pm,1130,true,0,0.0,0.00,0.00,41,51.2,0.20,1.18,41,51.2,0.20,1.18
5,20d,long,atr,0930,0940,false,218,38.1,-0.34,0.79,132,46.2,0.10,1.07,350,41.1,-0.18,0.88
5,20d,long,atr,0930,0940,true,0,0.0,0.00,0.00,90,47.8,0.17,1.12,90,47.8,0.17,1.12
5,20d,long,atr,0930,1130,false,337,40.9,-0.28,0.82,193,48.7,0.12,1.10,530,43.8,-0.13,0.91
5,20d,long,atr,0930,1130,true,0,0.0,0.00,0.00,136,50.0,0.22,1.18,136,50.0,0.22,1.18
5,20d,long,atr,pm,0940,false,218,44.0,-0.35,0.79,132,48.5,0.26,1.21,350,45.7,-0.12,0.92
5,20d,long,atr,pm,0940,true,0,0.0,0.00,0.00,90,51.1,0.42,1.36,90,51.1,0.42,1.36
5,20d,long,atr,pm,1130,false,337,45.4,-0.26,0.84,193,50.3,0.26,1.23,530,47.2,-0.07,0.95
5,20d,long,atr,pm,1130,true,0,0.0,0.00,0.00,136,52.2,0.40,1.38,136,52.2,0.40,1.38
5,20d,long,pct1,0930,0940,false,218,60.1,-0.40,0.57,132,71.2,-0.20,0.76,350,64.3,-0.33,0.64
5,20d,long,pct1,0930,0940,true,0,0.0,0.00,0.00,90,75.6,-0.05,0.93,90,75.6,-0.05,0.93
5,20d,long,pct1,0930,1130,false,337,64.1,-0.30,0.66,193,71.5,-0.12,0.84,530,66.8,-0.23,0.72
5,20d,long,pct1,0930,1130,true,0,0.0,0.00,0.00,136,75.0,-0.01,0.99,136,75.0,-0.01,0.99
5,20d,long,pct1,pm,0940,false,218,65.6,-0.39,0.59,132,76.5,-0.01,0.98,350,69.7,-0.25,0.71
5,20d,long,pct1,pm,0940,true,0,0.0,0.00,0.00,90,83.3,0.24,1.48,90,83.3,0.24,1.48
5,20d,long,pct1,pm,1130,false,337,68.2,-0.26,0.69,193,75.6,0.05,1.07,530,70.9,-0.15,0.80
5,20d,long,pct1,pm,1130,true,0,0.0,0.00,0.00,136,80.1,0.20,1.40,136,80.1,0.20,1.40
5,20d,long,pct2,0930,0940,false,218,49.1,-0.34,0.72,132,56.8,-0.15,0.88,350,52.0,-0.27,0.78
5,20d,long,pct2,0930,0940,true,0,0.0,0.00,0.00,90,60.0,-0.02,0.98,90,60.0,-0.02,0.98
5,20d,long,pct2,0930,1130,false,337,52.2,-0.28,0.76,193,58.5,-0.04,0.96,530,54.5,-0.19,0.83
5,20d,long,pct2,0930,1130,true,0,0.0,0.00,0.00,136,61.0,0.07,1.07,136,61.0,0.07,1.07
5,20d,long,pct2,pm,0940,false,218,55.5,-0.29,0.77,132,60.6,0.08,1.07,350,57.4,-0.15,0.87
5,20d,long,pct2,pm,0940,true,0,0.0,0.00,0.00,90,65.6,0.33,1.38,90,65.6,0.33,1.38
5,20d,long,pct2,pm,1130,false,337,57.0,-0.22,0.81,193,61.1,0.13,1.14,530,58.5,-0.09,0.91
5,20d,long,pct2,pm,1130,true,0,0.0,0.00,0.00,136,64.7,0.31,1.38,136,64.7,0.31,1.38
5,20d,long,t1030,0930,0940,false,218,39.4,-0.33,0.77,132,51.5,0.04,1.04,350,44.0,-0.19,0.85
5,20d,long,t1030,0930,0940,true,0,0.0,0.00,0.00,90,52.2,0.05,1.05,90,52.2,0.05,1.05
5,20d,long,t1030,0930,1130,false,337,41.5,-0.28,0.76,193,47.7,0.05,1.05,530,43.8,-0.16,0.85
5,20d,long,t1030,0930,1130,true,0,0.0,0.00,0.00,136,49.3,0.15,1.17,136,49.3,0.15,1.17
5,20d,long,t1030,pm,0940,false,218,40.8,-0.36,0.75,132,51.5,0.02,1.02,350,44.9,-0.21,0.84
5,20d,long,t1030,pm,0940,true,0,0.0,0.00,0.00,90,53.3,0.04,1.03,90,53.3,0.04,1.03
5,20d,long,t1030,pm,1130,false,337,42.4,-0.29,0.76,193,47.7,0.04,1.05,530,44.3,-0.17,0.85
5,20d,long,t1030,pm,1130,true,0,0.0,0.00,0.00,136,50.0,0.15,1.16,136,50.0,0.15,1.16
5,20d,long,t1200,0930,0940,false,218,37.2,-0.37,0.75,132,46.2,0.06,1.04,350,40.6,-0.21,0.85
5,20d,long,t1200,0930,0940,true,0,0.0,0.00,0.00,90,47.8,0.13,1.10,90,47.8,0.13,1.10
5,20d,long,t1200,0930,1130,false,337,40.7,-0.27,0.80,193,45.6,0.02,1.02,530,42.5,-0.17,0.87
5,20d,long,t1200,0930,1130,true,0,0.0,0.00,0.00,136,47.1,0.12,1.11,136,47.1,0.12,1.11
5,20d,long,t1200,pm,0940,false,218,40.4,-0.45,0.72,132,48.5,0.06,1.04,350,43.4,-0.26,0.83
5,20d,long,t1200,pm,0940,true,0,0.0,0.00,0.00,90,51.1,0.08,1.06,90,51.1,0.08,1.06
5,20d,long,t1200,pm,1130,false,337,42.4,-0.29,0.79,193,46.6,0.04,1.03,530,44.0,-0.17,0.87
5,20d,long,t1200,pm,1130,true,0,0.0,0.00,0.00,136,49.3,0.11,1.09,136,49.3,0.11,1.09
