minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,252d,long,pct2,0930,1130,true,134,49.3,-0.34,0.72,49,55.1,-0.18,0.84,183,50.8,-0.30,0.75
3,252d,long,pct2,pm,0940,false,161,60.2,-0.14,0.88,53,49.1,-0.74,0.52,214,57.5,-0.29,0.77
3,252d,long,pct2,pm,0940,true,104,55.8,-0.24,0.79,35,54.3,-0.46,0.66,139,55.4,-0.30,0.76
3,252d,long,pct2,pm,1130,false,233,57.1,-0.19,0.83,73,52.1,-0.42,0.68,306,55.9,-0.24,0.79
3,252d,long,pct2,pm,1130,true,134,53.7,-0.32,0.74,49,57.1,-0.23,0.81,183,54.6,-0.29,0.76
3,252d,long,t1030,0930,0940,false,161,36.0,-0.62,0.60,53,47.2,-0.01,0.99,214,38.8,-0.47,0.68
3,252d,long,t1030,0930,0940,true,104,33.7,-0.62,0.59,35,51.4,0.48,1.54,139,38.1,-0.34,0.75
3,252d,long,t1030,0930,1130,false,233,37.8,-0.55,0.58,73,45.2,0.17,1.18,306,39.5,-0.38,0.69
3,252d,long,t1030,0930,1130,true,134,34.3,-0.56,0.57,49,46.9,0.56,1.74,183,37.7,-0.26,0.78
3,252d,long,t1030,pm,0940,false,161,37.9,-0.66,0.59,53,47.2,-0.09,0.92,214,40.2,-0.52,0.65
3,252d,long,t1030,pm,0940,true,104,35.6,-0.65,0.58,35,51.4,0.27,1.24,139,39.6,-0.42,0.71
3,252d,long,t1030,pm,1130,false,233,39.1,-0.59,0.56,73,45.2,0.11,1.11,306,40.5,-0.42,0.67
3,252d,long,t1030,pm,1130,true,134,35.8,-0.59,0.56,49,46.9,0.41,1.45,183,38.8,-0.32,0.74
3,252d,long,t1200,0930,0940,false,161,39.1,-0.43,0.73,53,39.6,-0.42,0.73,214,39.3,-0.43,0.73
3,252d,long,t1200,0930,0940,true,104,41.3,-0.33,0.78,35,42.9,0.11,1.09,139,41.7,-0.22,0.84
3,252d,long,t1200,0930,1130,false,233,40.3,-0.41,0.72,73,42.5,-0.27,0.80,306,40.8,-0.38,0.73
3,252d,long,t1200,0930,1130,true,134,43.3,-0.30,0.79,49,42.9,-0.01,0.99,183,43.2,-0.23,0.83
3,252d,long,t1200,pm,0940,false,161,42.2,-0.45,0.72,53,41.5,-0.50,0.70,214,42.1,-0.46,0.72
3,252d,long,t1200,pm,0940,true,104,45.2,-0.36,0.77,35,42.9,-0.26,0.83,139,44.6,-0.34,0.78
3,252d,long,t1200,pm,1130,false,233,42.1,-0.41,0.72,73,42.5,-0.35,0.75,306,42.2,-0.40,0.73
3,252d,long,t1200,pm,1130,true,134,46.3,-0.30,0.79,49,42.9,-0.27,0.81,183,45.4,-0.30,0.80
3,252d,both,atr,0930,0940,false,196,45.4,-0.37,0.77,65,41.5,-0.25,0.85,261,44.4,-0.34,0.79
3,252d,both,atr,0930,0940,true,116,43.1,-0.26,0.82,38,44.7,0.09,1.07,154,43.5,-0.17,0.88
3,252d,both,atr,0930,1130,false,277,43.7,-0.39,0.74,96,47.9,0.11,1.08,373,44.8,-0.26,0.82
3,252d,both,atr,0930,1130,true,148,42.6,-0.27,0.82,56,51.8,0.35,1.31,204,45.1,-0.10,0.93
3,252d,both,atr,pm,0940,false,196,51.5,-0.21,0.86,65,43.1,-0.31,0.82,261,49.4,-0.24,0.85
3,252d,both,atr,pm,0940,true,116,47.4,-0.22,0.85,38,44.7,-0.16,0.90,154,46.8,-0.20,0.86
3,252d,both,atr,pm,1130,false,277,48.4,-0.26,0.82,96,47.9,0.05,1.04,373,48.3,-0.18,0.88
3,252d,both,atr,pm,1130,true,148,45.9,-0.26,0.83,56,51.8,0.18,1.14,204,47.5,-0.14,0.90
3,252d,both,pct1,0930,0940,false,196,64.3,-0.38,0.60,65,64.6,-0.50,0.53,261,64.4,-0.41,0.58
3,252d,both,pct1,0930,0940,true,116,62.1,-0.39,0.59,38,73.7,0.04,1.07,154,64.9,-0.28,0.67
3,252d,both,pct1,0930,1130,false,277,65.7,-0.27,0.68,96,65.6,-0.32,0.65,373,65.7,-0.28,0.67
3,252d,both,pct1,0930,1130,true,148,63.5,-0.33,0.63,56,71.4,-0.01,0.98,204,65.7,-0.25,0.70
3,252d,both,pct1,pm,0940,false,196,71.4,-0.25,0.72,65,70.8,-0.32,0.66,261,71.3,-0.27,0.70
3,252d,both,pct1,pm,0940,true,116,69.0,-0.30,0.67,38,78.9,0.04,1.06,154,71.4,-0.22,0.75
3,252d,both,pct1,pm,1130,false,277,70.8,-0.17,0.78,96,69.8,-0.20,0.76,373,70.5,-0.18,0.78
3,252d,both,pct1,pm,1130,true,148,68.9,-0.27,0.70,56,75.0,-0.01,0.98,204,70.6,-0.20,0.76
3,252d,both,pct2,0930,0940,false,196,56.6,-0.18,0.84,65,47.7,-0.73,0.52,261,54.4,-0.32,0.74
3,252d,both,pct2,0930,0940,true,116,53.4,-0.19,0.83,38,52.6,-0.33,0.72,154,53.2,-0.23,0.80
3,252d,both,pct2,0930,1130,false,277,55.2,-0.20,0.82,96,53.1,-0.32,0.74,373,54.7,-0.23,0.80
3,252d,both,pct2,0930,1130,true,148,52.7,-0.22,0.81,56,57.1,-0.08,0.92,204,53.9,-0.18,0.84
3,252d,both,pct2,pm,0940,false,196,63.3,-0.01,0.99,65,50.8,-0.68,0.55,261,60.2,-0.18,0.85
